id;fecha_creacion;numero_factura;tipo_factura;informacion_proovedor;id_proveedor;valor_factura;valor_pagado;valor_deuda;estado
1;43616;Morado Administrador;DEBITO;compressing drive;18932;43230;85325;11408;discreta
2;80105;Lira;CREDITO;envisioneer;19222;57167;25330;91188;Operaciones
3;18180;e-business;DEBITO;Home Jefe Bricolaje;38975;97120;93797;18249;Rua
4;56345;Galicia Moda unleash;CREDITO;system turn-key;3050;7361;17597;5468;Granito
5;67379;card Cedi;CREDITO;Loan;29903;99501;15349;94379;engage nacional
6;17331;Borders;CREDITO;Genérico feed;62389;88150;60993;49926;override Deportes Bebes
7;14206;Funcionario Algodón;CREDITO;HDD Proactivo Adelante;30167;8863;28798;5785;Municipio
8;7835;Rojo;CREDITO;iniciativa Blanco;29389;75578;21784;1952;Negro
9;43706;Luxemburgo GB;DEBITO;IB Seychelles Galicia;69642;24117;28733;49902;Blanco Acero Pelota
10;39376;Chalet;DEBITO;connect Integración Usabilidad;99968;81026;62047;21756;Supervisor Marca bidireccional
