id;id_producto;descripcion;fecha_agregado
1;83040;program;2022-07-31T05:42:51
2;16667;extend Galicia;2022-07-31T15:56:04
3;19936;global;2022-07-31T02:35:17
4;46879;mano Corporativo Mozambique;2022-07-31T15:58:33
5;58515;connecting Gerente Deportes;2022-07-31T04:40:47
6;73818;estandardización hack protocol;2022-07-30T21:02:59
7;23994;Sabroso Omán paradigms;2022-07-30T18:40:42
8;84717;alianza;2022-07-30T21:16:15
9;74597;SCSI Optimización;2022-07-31T02:46:38
10;69315;Configurable application indexing;2022-07-31T11:04:36
