id;fecha_pedido;direccion;estado;info_domicilio;id_domiciliario;id_notificacion;id_factura
1;2022-04-08T10:50:21;virtual Sopa Account;navigate;transmitting;80768;83795;70887
2;2022-04-08T13:31:18;XML Mobilidad Nacional;Cuentas;International;33326;34393;66512
3;2022-04-08T13:51:04;Mozambique;matrix Configurable;real-time reintermediate;61109;36214;97918
4;2022-04-08T12:17:17;Loan Videojuegos;Genérico Senior;Mauritius Diverso Orgánico;15049;57062;54810
5;2022-04-08T05:26:42;e-markets;Gerente Rojo Salud;navigating virtual synthesizing;20782;25672;62769
6;2022-04-08T14:56:04;Salida deliver overriding;neural;Tonga;71688;10880;24974
7;2022-04-08T17:56:37;matrix Salchichas;arquitectura Hecho;payment payment;88833;29188;70075
8;2022-04-08T06:38:21;Pasaje Pizza convergence;payment;Hogar a Fantástico;71512;55684;47104
9;2022-04-08T02:48:46;transmitting syndicate Oficial;protocol intuitive e-business;emulación Pre-emptivo;14920;99834;60453
10;2022-04-08T04:16:15;fidelidad;synergies Inversor cross-platform;Gibraltar;48390;16785;46843
