id;id_product;login;last_update;estado
1;74383;Rincón Toallas;2022-06-17T07:18:51;input Consultor
2;90765;Cliente;2022-06-16T16:18:59;Negro Arroyo programming
3;33346;Electrónica Negro Costa;2022-06-16T21:06:19;transmit presupuestaria B2C
4;16000;synthesizing;2022-06-17T02:30:48;Granito Dinánmico
5;22429;hack Barein definición;2022-06-17T07:34:17;withdrawal TCP innovadora
6;6457;interactiva web;2022-06-17T01:10:20;Madera Corporativo
7;5743;Gris Account Negro;2022-06-16T19:33:11;Solomon Distrito intuitive
8;58606;US generate;2022-06-17T13:05:00;markets
9;70399;transmit Camiseta;2022-06-16T21:23:55;de
10;50000;acompasada Savings synergize;2022-06-16T22:23:05;Asimilado La Sorprendente
