id;fecha_creacion;valor_total_dia;valor_registrado_dia;diferencia;estado
1;2022-04-08T12:19:03;24238;1102;82666;Egipto Algodón
2;2022-04-08T07:36:01;30474;51266;61364;Facilitador generate system
3;2022-04-08T16:22:26;911;90762;22024;SMS Account
4;2022-04-08T21:38:37;14413;59147;20881;CSS capacitor application
5;2022-04-08T19:04:17;33147;23550;61767;Dollar Electrónica
6;2022-04-08T04:24:15;54161;81519;348;intermedia
7;2022-04-08T21:28:04;41926;8429;56949;Peso
8;2022-04-08T00:37:58;75394;68054;82836;Pakistan Metal Cantabria
9;2022-04-08T16:21:38;33369;35830;66256;Ladrillo
10;2022-04-08T21:18:28;34144;19406;95062;mindshare state
