id;id_comentario;fecha_comentario;login;jhi_like;descripcion
1;55694;2022-07-17T02:00:57;Sorprendente;76126;Palladium Interacciones
2;83075;2022-07-16T17:33:29;Asistente;79361;Bicicleta Zapatos Auto
3;36684;2022-07-17T15:22:56;open-source Borders Metal;28304;Rua Futuro
4;29633;2022-07-17T10:36:26;Sincronizado;13864;Rojo
5;21329;2022-07-17T03:54:58;Negro 1080p;4798;Verde Comunidad Moroccan
6;16218;2022-07-17T03:07:05;vortals Seguridada reinvent;79748;channels reboot
7;10913;2022-07-17T08:24:47;Montserrat;49104;Hormigon bidireccional
8;69611;2022-07-16T23:02:31;Ergonómico Música Directo;55316;generate
9;96229;2022-07-17T13:15:06;Coordinador;6512;Bélgica metrics
10;68602;2022-07-17T04:28:37;Pizza León AI;25655;Won
