id;id_pedido;id_domiciliario;id_factura;descripcion;estado
1;25906;84302;15688;Poblado compressing;copy metrics Guantes
2;94461;20372;97883;a bandwidth transmitting;circuito 4th
3;32033;7233;77782;generate Sabroso;Navarra Castilla
4;79554;48697;24814;recontextualize generate;dinámica Aragón
5;22170;46029;80351;Gourde;enterprise Guapa
6;21492;51886;9767;Mesa bluetooth;Avon GB SDD
7;96201;30595;51009;Azul;Algodón
8;41082;80600;77310;magnetic synthesizing;Kwacha enterprise
9;69767;48564;21690;Rojo wireless;architectures
10;69539;31582;27717;withdrawal Innovador;hack enterprise Parcela
